Rel_group,TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,TankNumber,OrderID
VT,03EC,11:55:39,11:57:09,,77,G,G,G,11:57:45,0,12:01:43,JH,AK,13.3,,12.9,,,12/21/23,,9,887
VT,03F2,9:24:54,9:26:53,,70,G,G,G,9:27:43,0,9:30:05,JH,AK,12.3,,12.9,,,12/22/23,,3,964
VT,03FC,10:31:30,10:33:17,,71,G,G,G,10:34:12,0,10:36:45,SG,RW,12.6,,12.5,,"1 FLOP,",12/22/23,,3,1040
VT,0403,9:37:32,9:39:02,,74,G,G,G,9:39:52,0,9:45:53,JH,AK,13,,11.7,,,12/21/23,,9,837
VT,0415,11:57:54,11:59:33,,80,G,G,G,12:00:22,0,12:01:58,JH,AK,13.3,,12.9,,,12/21/23,,9,889
VT,0448,10:50:57,10:52:45,,72,G,G,G,10:53:54,0,10:56:06,JH,AK,12.6,,12.5,,"Split caudal,yellow belly, split belly",12/22/23,,3,985
LT,045F,11:13:10,11:14:45,,78,G,G,G,11:15:20,0,11:20:05,JH,AK,12.6,,12.5,,Male,12/22/23,,2,993
LT,0466,11:14:19,11:16:11,,75,G,G,G,11:16:49,1,11:20:33,SG,RW,12.6,,12.5,,,12/22/23,,2,1061
LT,046F,9:14:49,9:16:30,,75,G,G,G,9:17:04,0,9:19:00,JH,AK,12.3,,12.9,,,12/22/23,,2,957
VT,0491,9:16:35,9:18:04,,66,G,G,G,9:19:05,0,9:19:42,SG,RW,12.3,,12.9,,"MILT, DIFFICULT INCERTION, BRUISING LIKELY",12/22/23,,3,1024
LT,0495,9:50:44,9:52:16,,72,G,G,G,9:53:10,0,9:55:00,JH,AK,13,,11.7,,,12/21/23,,8,846
LT,04D2,9:23:17,9:24:59,,72,G,G,G,9:26:03,1,9:28:25,SG,RW,12.3,,12.9,,,12/22/23,,2,1027
LT,04D8,11:56:06,11:57:46,,84,G,G,G,11:58:36,1,12:01:42,SG,RW,12.6,,12.5,,"BIG FISH, MAYBE GRAVID FEMALE",12/22/23,,2,1079
LT,04EE,9:05:20,9:06:51,,80,G,G,G,9:07:32,0,9:12:32,JH,AK,13,,11.7,,,12/21/23,,8,823
LT,04F4,9:59:31,10:01:15,,73,G,G,G,10:01:52,0,10:04:20,JH,AK,12.3,,12.9,,"Split caudal, flop",12/22/23,,2,973
LT,051E,10:04:03,10:05:37,,68,G,G,G,10:06:38,0,10:09:07,JH,AK,13,,11.7,,,12/21/23,,8,856
VT,052F,10:23:08,10:24:55,,65,G,G,G,10:25:49,0,10:29:05,JH,AK,13,,11.7,,,12/21/23,,9,859
VT,0533,12:00:25,12:02:04,,84,G,G,G,12:02:44,0,12:06:00,JH,AK,13.3,,12.9,,,12/21/23,,9,891
LT,0534,11:16:59,11:18:35,,75,G,F,G,11:19:20,0,11:23:03,SG,RW,12.6,,12.5,,"SPLIT CAUDAL, 1 FLOP",12/22/23,,2,1063
LT,0551,11:21:54,11:23:39,,71,G,G,G,11:24:34,0,11:27:56,SG,RW,12.6,,12.5,,SKINNY,12/22/23,,2,1067
LT,0560,8:55:36,8:57:45,,82,G,G,G,8:58:48,0,9:04:05,JH,AK,13,,11.7,,,12/21/23,,8,819
LT,0570,9:23:17,9:24:51,,75,G,G,G,9:25:40,0,9:26:30,JH,AK,12.3,,12.9,,floppy,12/22/23,,2,963
VT,058F,11:10:55,11:12:28,,84,G,F,G,11:13:16,0,11:15:34,SG,RW,12.6,,12.5,,"I FLOP, FRAYED CAULDAL",12/22/23,,3,1058
VT,05AD,12:34:14,12:35:50,,68,G,G,G,12:36:24,0,12:38:58,JH,AK,13.3,,12.9,,,12/21/23,,9,913
LT,05BB,11:10:53,11:12:19,,65,G,G,G,11:12:55,0,11:18:41,JH,AK,12.6,,12.5,,Flopped,12/22/23,,2,991
LT,05C2,12:23:42,12:25:12,,75,G,G,G,12:25:53,0,12:28:39,JH,AK,13.3,,12.9,,Jumped under knife,12/21/23,,8,905
LT,05D8,11:51:37,11:53:15,,71,G,G,G,11:54:00,0,11:56:47,SG,RW,12.6,,12.5,,"LIKELY MALE,",12/22/23,,2,1076
LT,05DD,12:00:55,12:02:29,,73,G,F,G,12:03:22,0,12:04:11,SG,RW,12.6,,12.5,,"1 FLOP, FRAYED CAUDAL, GRAVID",12/22/23,,2,1081
VT,05FA,9:30:53,9:32:28,,82,G,G,G,9:33:06,0,9:36:29,JH,AK,12.3,,12.9,,,12/22/23,,3,966
LT,0606,11:48:40,11:50:07,,75,G,G,G,11:50:52,0,11:53:52,JH,AK,12.6,,12.5,,F,12/22/23,,2,1004
VT,060E,13:34:36,13:36:12,,75,G,G,G,13:36:51,0,13:37:44,JH,AK,13.3,,12.9,,,12/21/23,,9,943
LT,0612,12:39:02,12:40:43,,71,G,G,G,12:41:27,0,12:43:50,JH,AK,13.3,,12.9,,Milt,12/21/23,,8,917
VT,0615,11:19:18,11:21:00,,80,G,G,G,11:21:27,0,11:25:32,JH,AK,12.6,,12.5,,,12/22/23,,3,998
LT,061C,9:32:12,9:33:42,,75,G,G,G,9:34:41,0,9:38:33,JH,AK,13,,11.7,,,12/21/23,,8,834
LT,0623,10:40:58,10:42:35,,70,G,G,G,10:43:17,0,10:45:54,JH,AK,12.6,,12.5,,Split caudal flopped,12/22/23,,2,979
VT,0669,10:49:39,10:51:27,,75,G,G,G,10:52:06,0,10:56:04,JH,AK,12.6,,12.5,,,12/22/23,,3,984
LT,0677,9:46:37,9:48:14,,72,G,G,G,9:48:59,0,9:52:52,JH,AK,13,,11.7,,,12/21/23,,8,843
lT,068D,10:37:36,10:39:02,,72,G,G,G,10:39:49,0,10:43:27,JH,AK,12.6,,12.5,,"Split caudal, flopped",12/22/23,,2,977
VT,069C,9:48:41,9:50:13,,78,G,G,G,9:51:11,0,9:52:43,JH,AK,12.3,,12.9,,Split caudal,12/22/23,,3,969
VT,06B3,12:04:15,12:05:48,,75,G,G,G,12:06:22,0,12:08:35,JH,AK,13.3,,12.9,,,12/21/23,,9,894
LT,06CB,11:54:30,11:56:00,,75,G,G,G,11:56:35,0,12:00:01,JH,AK,13.3,,12.9,,,12/21/23,,8,886
VT,06CE,10:24:59,10:26:30,,78,G,G,G,10:27:22,0,10:31:28,JH,AK,13,,11.7,,Milt,12/21/23,,9,860
VT,06D0,9:54:08,9:55:36,,65,G,G,G,9:56:54,0,9:57:11,SG,RW,12.3,,12.9,,2 FLOP,12/22/23,,3,1036
LT,06EE,10:01:57,10:03:28,,74,G,G,G,10:04:15,0,10:07:09,JH,AK,13,,11.7,,,12/21/23,,8,854
LT,06F2,10:38:53,10:40:30,,70,G,G,G,10:41:10,0,10:44:57,JH,AK,12.6,,12.5,,,12/22/23,,2,978
LT,06F5,10:50:58,10:52:37,,67,G,G,G,10:53:27,0,10:57:31,SG,RW,12.6,,12.5,,MALE,12/22/23,,2,1050
VT,06FB,11:25:06,11:26:39,,75,G,G,G,11:27:45,0,11:32:09,SG,RW,12.6,,12.5,,"MALE, MILT",12/22/23,,3,1069
VT,06FC,10:34:38,10:36:19,,67,G,G,G,10:37:04,0,10:39:09,SG,RW,12.6,,12.5,,MILT,12/22/23,,3,1041
VT,0716,10:01:18,10:02:51,,79,G,G,G,10:03:42,0,10:04:11,SG,RW,12.3,,12.9,,"1 FLOP, LIKELY GRAVID, EGG VISIBLE THRU INCISION",12/22/23,,3,1038
LT,0725,9:32:19,9:34:04,,69,G,G,G,9:35:16,0,9:40:57,SG,RW,12.3,,12.9,,Recovery time not accurate,12/22/23,,2,1033
LT,0733,11:14:19,11:15:43,,78,G,G,G,11:16:24,0,11:21:15,JH,AK,12.6,,12.5,,F,12/22/23,,2,994
LT,073D,10:31:32,10:33:09,,73,G,G,G,10:33:48,1,10:38:45,JH,AK,12.6,,12.5,,,12/22/23,,2,974
VT,0742,10:03:07,10:04:44,,75,G,G,G,10:05:45,0,10:06:51,SG,RW,12.3,,12.9,,"MALE, MILT THRU INSCISION, GOOD LOOKING FISH",12/22/23,,3,1039
VT,0752,12:27:22,12:29:09,,75,G,G,G,12:29:53,0,12:32:39,JH,AK,13.3,,12.9,,Caudal lower part cut,12/21/23,,9,908
LT,076F,10:42:15,10:43:47,,68,G,F,G,10:44:47,0,10:49:32,SG,RW,12.6,,12.5,,"1 FLOP, FRAYED CAUDAL, SKINNY, LIKELY MALE",12/22/23,,2,1045
VT,0772,12:35:32,12:37:02,,76,G,G,G,12:37:46,0,12:39:56,JH,AK,13.3,,12.9,,,12/21/23,,9,914
LT,0773,9:43:55,9:45:33,,72,G,G,G,9:46:15,0,9:52:49,JH,AK,13,,11.7,,,12/21/23,,8,841
VT,0776,12:26:03,12:27:39,,78,G,G,G,12:28:25,0,12:31:06,JH,AK,13.3,,12.9,,,12/21/23,,9,907
LT,0794,10:46:42,10:48:23,,70,G,G,G,10:49:07,0,10:52:24,SG,RW,12.6,,12.5,,BLEEDING IN RECOOVERY,12/22/23,,2,1047
LT,0796,11:59:20,12:00:44,,73,G,G,G,12:01:24,0,12:03:39,SG,RW,12.6,,12.5,,2 FLOP,12/22/23,,2,1080
VT,0799,9:17:45,9:19:24,,78,G,G,G,9:20:13,0,9:21:15,SG,RW,12.3,,12.9,,"LARGE GRAVID FISH, SPLIT BELLY",12/22/23,,3,1025
VT,07A1,11:18:09,11:19:48,,76,G,G,G,11:20:35,0,11:24:05,JH,AK,12.6,,12.5,,f,12/22/23,,3,997
VT,07A9,9:55:10,9:56:48,,67,G,G,G,9:57:30,0,10:00:40,JH,AK,13,,11.7,,,12/21/23,,9,849
VT,07BC,10:48:05,10:49:47,,81,G,G,G,10:50:33,0,10:56:02,JH,AK,12.6,,12.5,,flopping a lot,12/22/23,,3,983
VT,07C8,11:46:31,11:48:02,,67,G,G,G,11:48:51,0,11:50:27,SG,RW,12.6,,12.5,,SMALL MALE,12/22/23,,3,1073
LT,106D,12:42:49,12:44:26,,83,G,G,G,12:45:27,0,12:49:21,JH,AK,13.3,,12.9,,,12/21/23,,8,920
