Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ReasonforMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes,Ext.Bruise_Score,ExtBruise_Notes,IntBruise_Score,IntBruise_Notes,Incision_Score,Incision_Notes,TagPlacement_Score,TagPlacement_Notes,GenAppearance_Score,GenAppearance_Notes,CumulativeScore,Gut_Full_YN,Other Notes,PhotosTaken_YN,Photo Notes
142,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.9,81,M,2,,0,,0,,0,,,,0,,,y,lots of fat for a male,n,
143,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,4.5,87,F,2,,0,,0,,0,fully healed but long incision,,,0,,,y,,n,
144,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,2.6,71,M,2,teste grafted to incision,0,,0,,0,,,,0,,,y,,n,
145,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.5,76,M,2,,0,,0,,0,fully healed but wide incision,,,1,small wound/infection on lower jaw,,y,,n,
146,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.4,80,F,0,,0,,0,,0,,,,0,,,y,,n,
147,NA,DeltaSmelt,VS,AES-4,8/8/23,9/8/23,Euth,3.4,79,M,2,,0,,0,,0,incision healed but it is diagnal and crosses the midline,,,0,,,y,,n,
148,415,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4,76,M,2,big testes,0,,1,minor bruising behind incision,0,,0,,0,,,y,fatty tissue grafted to incision,n,
149,06F2,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,2.4,71,M,2,,0,,1,minor bruising and fatty tissue around tag,0,,1,minor anterior migration,1,eye redness,,y,,n,
150,04F4,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3,75,M,2,,0,,0,,1,large but mostly healed,0,,1,minor redness around pectoral fin,,n,"fatty tissue grafted to incision, empty stomach",y,fatty tissue encapsulating tag
151,794,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4.9,82,M,2,,0,,0,,0,,1,45 degree placement rotation,1,eye redness,,y,,y,"example of a clean healed incision, 45 degree tag placement rotation"
152,02CA,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,1.8,69,M,2,,0,,0,,0,,0,,1,mouth deformity,,n,tag encapsulation,y,mouth deformity
153,3E05,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4.2,84,M,2,,0,,0,,1,minor bleeding behind incision,0,behind teste partially encapsulated,0,,,y,,n,
154,88,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,4,83,M,2,,0,,0,,0,,0,minor encapsulation by fatty tissue,0,,,n,,y,example of clean healed incision
155,00A8,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3.5,78,M,2,,0,,0,,0,,0,,0,,,y,teste grafted to incision,y,demonstration of healed incision
156,213,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3.5,81,M,2,tag pierced through teste,0,,0,,0,,1,tag pierced through teste,1,eye redness,,y,,y,"example of clean healed incision, and tag placement since tag went through teste"
157,003A,DeltaSmelt,LT,AES-5,8/8/23,9/8/23,Euth,3.1,78,M,2,,0,,0,,0, incision long but fully healed,0,,0,,,y,tag partially encapsulated in fatty tissue,n,
158,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,7.7,96,F,0,,0,,1,minor internal bruising behind incision,1,healed but wide,,,0,,,y,fatty tissue grafted to incision location,y,large incision contributed to shed tag. photo of bruising and grafting to fatty tissue. air bladder.
159,02A2,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.7,80,M,2,,0,,0,,0,,2,rotation and damaged teste,0,,,y,,n,
160,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,2.1,65,M,2,,0,,0,,1,healed but wide,,,0,,,y,,n,
161,033D,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.3,75,M,2,,0,,0,,0,crosses midline,0,,0,,,y,,n,
162,752,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,7.1,95,F,1,,0,,0,,0,,1,minor tag rotation and encapsulated in fat,0,,,n,stomach empty full of air,y,example of healed incision
163,184,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.5,76,M,2,,1,small wound from tag rubbing,0,,0,,0,"teste grafted to incision, tag partially encapsulated in fat",0,,,y,,n,
164,02A3,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.1,75,M,2,,0,,0,,0,,0,tag partially encapsulated in fat,0,,,y,,n,
165,02B5,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,4.9,85,F,1,,0,,1,minor redness around tag,1,wide incision partially healed,1,tag fully encapsulated in fat and slightly rotated,0,,,y,,n,
166,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.8,80,M,2,,0,,0,,0,,,,1,redness around pectoral fin,,y,,n,
167,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,1.9,67,M,2,,0,,0,,0,,,,0,,,n,teste grafted to incision,n,
168,18,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,2.1,67,M,2,,1,minor bruise from tag rubbing,1,,0,,0,running against ventral side of body wall,0,,,n,,n,
169,Shed,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.5,76,M,2,,0,,0,,1,"partially healed, wide and jagged",,,1,cataract,,y,,y,jagged plus wide incision contributed to shed
170,85,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,2.7,71,M,2,,0,,0,,0,"healed but incision was wide, tag and teste visible through incision",0,tag partially encapsulated in fat,0,,,n,,n,
171,05BB,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.9,81,M,1,very small teste,0,,0,,0,,0,very minor encapsulation,3,disease,,n,,y,disease 
260,NA,DeltaSmelt,HC,AES-8,8/11/23,9/9/23,Natural,3.6,83,M,2,normal testes,0,,0,,,,,,3,"external sore/infection near dorsal fin, sub surface tumor dorsal near head",,,,,
172,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.3,76,M,2,,0,,0,,,,,,1,red eye,,,,,
173,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,6.6,96,F,1,crusty eggs,0,,1,,,,,,0,,,,,,
174,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.4,76,F,0,,0,,0,,,,,,0,,,,,,
175,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,7.7,97,F,0,,0,,0,,,,,,0,,,,,,
176,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.4,81,M,2,,0,,0,,,,,,0,,,,,,
177,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,4.9,87,F,4,inflamed vent likely due to spawning,0,,0,,,,,,1,inflamed vent,,,,,
178,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.1,79,M,2,,0,,0,,,,,,1,cateract,,,,,
179,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,4,82,F,1,,0,,0,,,,,,0,,,,,,
180,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.5,82,M,2,,0,,1,,,,,,1,,,,,,
181,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,1.9,70,F,0,,0,,0,,,,,,0,,,,,,
182,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.2,72,M,2,,0,,0,,,,,,1,eye redness,,,,,
183,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.4,70,M,2,,0,,0,,,,,,1,redness around pec fins,,,,,
184,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.2,78,M,1,,0,,1,,,,,,1,clipped caudal,,,,,
185,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.2,75,M,1,,0,,0,,,,,,0,,,,,,
186,NA,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,1.6,71,M,2,,0,,0,,,,,,2,"eye redness, frayed caudal, catteract",,,,,
187,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.2,75,M,2,,0,,0,,,,,,0,,,,,,
188,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.1,73,M,2,,0,,0,,,,,,1,shortened upper caudal,,,,,
189,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5,88,F,1,,0,,0,,,,,,1,frayed caudal,,,,,
190,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,6.1,100,F,1,,0,,0,,,,,,0,,,,,,
191,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.4,77,M,2,,0,,0,,,,,,0,,,,,,
192,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,4.2,84,M,2,,0,,0,,,,,,0,,,,,,
193,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.9,80,M,,"very skinny, small teste, unsure if post spawn; either 1 or 4",0,,0,,,,,,0,,,,,,
194,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5,82,F,1,,0,,0,,,,,,0,,,,,,
195,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.4,76,M,2,,0,,0,,,,,,0,,,,,,
196,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5.1,88,F,1,,0,,0,,,,,,0,,,,,,
197,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.5,73,M,2,,0,,0,,,,,,0,,,,,,
198,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.3,77,M,2,fat,0,,0,,,,,,1,eye redness,,,,,
199,NA,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.4,73,F,0,,0,,0,,,,,,1,eye redness,,,,,
200,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.7,79,M,2,,0,,0,,0,some fatty tissue grafted to the incision,,,0,,,,,,
201,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.3,88,F,1,,0,,0,,0,,,,0,,,,,,
202,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.3,90,F,0,,0,,0,,0,,,,0,,,,,,
203,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.8,85,M,2,,0,,0,,0,,,,0,,,,,,
204,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.9,93,F,0,,0,,0,,0,,,,0,,,,,,
205,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.5,80,F,0,,0,,0,,0,,,,0,,,,,,
206,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.7,77,M,2,,0,,0,,0,,,,0,,,,,,
207,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.2,77,M,2,,0,,0,,0,,,,1,catarast,,,,,
208,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,80,M,2,,0,,0,,0,,,,0,Redness around pec fin,,,,,
209,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.4,92,F,2,,0,,0,,0,,,,0,,,,,,
210,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,2.9,82,M,2,,0,,0,,0,,,,1,Frayed caudal fin,,,,,
211,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,83,M,1,,0,,0,,0,,,,1,eyed redness,,,,,
212,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.5,86,F,2,,1,"minor brusing ventral, between pelvic and pec",0,,0,,,,0,,,,,,
213,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.4,79,M,2,,0,,1,redness around teste,0,,,,0,,,,,,
214,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,2.8,79,M,2,,0,,0,,0,teste grafted to incision location,,,1,perculum bruise,,,,,
215,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,80,M,2,,0,,0,,0,,,,0,,,,,,
216,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,1.9,67,M,2,,0,,0,,0,teste grafted,,,0,,,,,,
217,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.8,83,F,0,,0,,0,,0,fatty tissue grafted,,,1,eye redness,,,,,
218,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,6.3,93,F,1,,0,,0,,0,,,,0,,,,,,
219,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,7.2,96,F,2,,0,,0,,0,,,,0,,,,,,
220,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.6,77,M,2,,0,,0,,0,jagged; teste grafted,,,0,,,,VIE tag,,
221,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,5.2,90,F,4,"overripe eggs, eggs red and crispy; likely 4 but maybe no",0,,0,,0,,,,1,frayed caudal,,,,,
222,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.2,76,M,2,,0,,1,redness on teste near incision,0,,,,0,,,,,,
223,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,2.7,70,M,2,,0,,0,,0,teste grafted into the incision,,,0,,,,,,
224,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.5,75,M,2,,0,,1,couple spots of redness,0,"incision is healed, but wide. Teste visible",,,1,redness around pectoral fin,,,,,
225,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,4.4,84,F,0,no egg development,0,,0,,0,,,,0,,,,,,
226,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,2.5,72,M,2,,0,,0,,0,,,,1,eye redness,,,,,
227,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,7.5,98,F,2,,0,,0,,0,"fully healed, but can see through it",,,1,redness around pectoral fin,,,,,
228,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,4.8,87,M,2,,0,,0,,0,,,,1,,,,,,
229,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3,75,M,2,,0,,0,,0,teste grafted,,,1,redness around pectoral fin,,,,,
230,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,4,85,F,1,few eggs,0,,0,,0,,,,0,,,,,,
231,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.5,75,M,2,,0,,0,,0,"healed, wide",,,1,redness around pectoral fin,,,,,
232,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.1,77,M,2,,0,,0,,0,,,,0,,,,,,
233,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.1,81,F,1,few eggs,0,,0,,0,,,,0,,,,,,
234,34,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,6.1,89,F,3,,1,bruising opposite of incision,0,,0,Was very dorsal,1,tag migration across the body which contributed to bruising. tag embeded in eggs as well,0,,,,,Y,"Healed incision, external bruising"
235,04EE,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,2.6,72,M,2,,0,,0,,0,fatty tissue grafted into incision,0,partial encapsulation,1,redness around pectoral fin,,,,,
236,560,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,5.5,91,F,1,,0,,1,minor redness around tag,0,,0,partial encapsulation,0,,,,,,
237,03D2,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.2,77,M,2,,0,,1,redness around tag,0,healed,0,partial encapsulation,0,,,,,Y,"Healed incision, but appears open"
238,02DE,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.8,83,F,3,,0,,0,,0,healed but very small,0,,0,,,,,,
239,051E,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.2,75,M,2,,0,,1,,0,,0,just behind teste,3,diseased/tumor,,,,Y,Tumor
240,036C,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,5.3,88,F,1,,0,,0,,0,,1,45 degrees of tag rotation; tag is encapsulated in fat,0,,,,,,
241,365,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.4,79,M,2,,0,,0,,0,healed but appears open; can see inside,1,tag migrated to head,0,,,,,,
242,321,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.9,82,M,2,,1,minor bruising opposite of incision,0,,0,,0,encapsulated in fat,0,,,,,,
243,05D8,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,5.3,82,M,2,,0,,0,,0,fatty tissue grafted to incision,,,1,redness around pectoral fin,,,,Y,Grafting
244,00BC,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.2,76,M,2,,0,,1,,0,incision is long though,2,interior migration and significant rotation appeared to damage liver,1,eyeredness and cataract,,,,Y,Cataract and Eyeredness
245,016F,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,6.4,94,F,2,,0,,0,,0,,0,heavy encapsulation,0,,,,,Y,Perfect!! and heavy encapsulation
246,02C7,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.8,75,M,2,,1,brusing around incision,1,bruising on teste around tag,0,teste visible,0,,1,frayed caudal fin,,,,Y,teste visible externally
247,00EE,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.5,84,F,4,post spawn,0,,0,redness related to spawning,0,,0,,0,,,,,,
248,Shed,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.4,77,M,2,,0,,0,,0,,,,0,,,,,,
249,183,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,6.9,93,M,2,,0,,0,,0,wide,1,tag encapsulated in fat and teste. internal rotation,0,,,,,Y,wide healed ventral incision
250,Shed,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.1,84,M,2,,0,,0,,0,wide,,,0,,,,,,
251,403,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.3,83,F,1,,0,,1,bruising near vent,0,,0,,0,,,,,,
252,776,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,7,96,F,3,,0,,0,,0,,0,no bruising,1,eyeredness,,,,,
253,019A,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.2,79,F,3,,0,,0,,0,,0,,0,,,,,,
254,01A0,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,2.8,72,F,1,,0,,1,redness around tag,0,,1,minor rotation,0,,,,,,
255,06CB,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.3,81,F,1,,0,,0,,0,,1,rotation,1,eyeredness,,,,Y,tag rotation
256,061C,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.8,80,F,0,,0,,0,,0,wide,0,lots of encapsulation,1,eyeredness,,,,,
257,06F5,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,2.9,74,M,2,,0,,0,some grafting,0,,0,partial encapsulation,0,,,,,,
258,258,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.2,86,F,1,,0,,1,little bit of internal bruising,0,,0,partial encapsulation,0,,,,,,
259,03CA,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.3,75,M,2,,0,,0,,0,grafting from teste to incision,0,,0,,,,,,
shed,51,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,160,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,01A1,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,01A8,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,035C,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,036E,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,551,DeltaSmelt,VT,AES-6,8/8/23,8/12/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,677,DeltaSmelt,VT,AES-6,8/8/23,8/12/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,1E09,DeltaSmelt,VT,AES-12,8/11/23,8/12/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,00C2,DeltaSmelt,VT,AES-6,8/8/23,8/21/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,01CB,DeltaSmelt,VT,AES-12,8/11/23,8/27/23,Shed,,,,,,,,,,,,,,,,,,,,
shed,0E00,DeltaSmelt,VT,AES-12,8/11/23,8/31/23,Shed,,,,,,,,,,,,,,,,,,,,
burst,046F,DeltaSmelt,VT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,07A9,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,796,DeltaSmelt,VT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,02AB,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,031D,DeltaSmelt,VT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,295,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,013D,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,038C,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,009A,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,219,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,392,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,207,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,06FB,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,06D0,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,110,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,00F1,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,011B,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,03D3,DeltaSmelt,VT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,772,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,249,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,01FD,DeltaSmelt,VT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,01EA,DeltaSmelt,VT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,060E,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,799,DeltaSmelt,LT,,8/8/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,247,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,03C4,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,304,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,491,DeltaSmelt,LT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
burst,07A0,DeltaSmelt,VT,,8/11/23,,Burst,,,,,,,,,,,,,,,,,,,,
